725;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.089,0.677&highlight=279,1003,71,51#Linde;
18;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2926&zoom=width&showposition=0.659,0.622&highlight=1649,1192,83,49#Linde;
21;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2929&zoom=width&showposition=0.803,0.132&highlight=1983,2760,82,62#Linde;
336;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.722,0.485&highlight=1766,1613,69,50#Linde;
498;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3406&zoom=width&showposition=0.116,0.448&highlight=337,1724,99,46#Linde;
1147;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4827&zoom=width&showposition=0.812,0.510&highlight=2007,1541,77,46#Linde;
156;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=980&zoom=width&showposition=0.747,0.631&highlight=1842,1158,91,57#Linde;
11;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=143&zoom=width&showposition=0.825,0.510&highlight=2028,1545,94,52#Linde;
676;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3584&zoom=width&showposition=0.823,0.539&highlight=1999,1443,95,53#Linde;
316;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1838&zoom=width&showposition=0.109,0.241&highlight=319,2401,55,58#Linde;
90;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1612&zoom=width&showposition=0.219,0.133&highlight=577,2756,98,48#Linde;
416;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.358,0.286&highlight=909,2266,99,46#Linde;
416;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.315,0.299&highlight=809,2219,85,47#Linde;
618;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=750&zoom=width&showposition=0.936,0.741&highlight=1277,768,81,48#Linde;
621;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=753&zoom=width&showposition=0.317,0.822&highlight=810,549,88,48#Linde;
29;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2937&zoom=width&showposition=0.419,0.302&highlight=1048,2204,88,62#Linde;
486;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=618&zoom=width&showposition=0.933,0.655&highlight=1270,1036,116,54#Linde;
