416;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.358,0.286&highlight=349,2214,100,57#Linde;
416;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.358,0.286&highlight=431,2162,68,68#Linde;
416;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.358,0.286&highlight=798,2218,105,48#Linde;
416;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.358,0.286&highlight=909,2266,99,46#Linde;
498;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3406&zoom=width&showposition=0.116,0.448&highlight=1008,1769,84,53#Linde;
498;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3406&zoom=width&showposition=0.116,0.448&highlight=337,1724,99,46#Linde;
555;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3463&zoom=width&showposition=0.648,0.776&highlight=1720,692,83,43#Linde;
581;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.862,0.697&highlight=1282,898,77,51#Linde;
581;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.862,0.697&highlight=1567,857,100,58#Linde;
581;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.862,0.697&highlight=1634,901,86,50#Linde;
581;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.862,0.697&highlight=2099,933,81,58#Linde;
581;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.862,0.697&highlight=2111,891,85,60#Linde;
585;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3493&zoom=width&showposition=0.508,0.217&highlight=1266,2470,88,44#Linde;
602;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3510&zoom=width&showposition=0.548,0.520&highlight=1367,1520,102,46#Linde;
602;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3510&zoom=width&showposition=0.548,0.520&highlight=1518,1559,114,51#Linde;
602;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3510&zoom=width&showposition=0.548,0.520&highlight=1787,1594,137,64#Linde;
602;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3510&zoom=width&showposition=0.548,0.520&highlight=2073,1507,110,57#Linde;
627;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3535&zoom=width&showposition=0.413,0.738&highlight=1036,799,92,58#Linde;
645;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3553&zoom=width&showposition=0.072,0.187&highlight=228,2568,83,60#Linde;
645;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3553&zoom=width&showposition=0.072,0.187&highlight=636,2573,92,53#Linde;
645;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3553&zoom=width&showposition=0.072,0.187&highlight=887,2619,188,47#Linde;
652;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.878,0.771&highlight=1299,640,81,44#Linde;
652;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.878,0.771&highlight=1949,633,110,54#Linde;
676;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3584&zoom=width&showposition=0.823,0.539&highlight=1999,1443,95,53#Linde;
725;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.089,0.677&highlight=129,954,90,56#Linde;
725;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.089,0.677&highlight=279,1003,71,51#Linde;
725;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.089,0.677&highlight=606,1001,95,57#Linde;
742;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3650&zoom=width&showposition=0.774,0.170&highlight=1280,2619,106,63#Linde;
51;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3725&zoom=width&showposition=0.148,0.118&highlight=411,2803,86,53#Linde;
51;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3725&zoom=width&showposition=0.148,0.118&highlight=740,2803,108,58#Linde;
259;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=391&zoom=width&showposition=0.456,0.613&highlight=409,1178,73,44#Linde;
309;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=441&zoom=width&showposition=0.639,0.250&highlight=1295,2383,85,57#Linde;
309;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=441&zoom=width&showposition=0.639,0.250&highlight=1564,2376,80,62#Linde;
309;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=441&zoom=width&showposition=0.639,0.250&highlight=1740,2426,81,60#Linde;
336;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.722,0.485&highlight=1272,1581,81,46#Linde;
336;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.722,0.485&highlight=1766,1613,69,50#Linde;
336;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.722,0.485&highlight=1959,1613,73,55#Linde;
336;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.722,0.485&highlight=2161,1619,62,53#Linde;
1147;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4827&zoom=width&showposition=0.812,0.510&highlight=1340,1501,87,54#Linde;
1147;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4827&zoom=width&showposition=0.812,0.510&highlight=1815,1498,78,48#Linde;
1147;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4827&zoom=width&showposition=0.812,0.510&highlight=2007,1541,77,46#Linde;
